,Authors,Poems
312,Padre Zezinho,"Poema do amigo aprendiz

Quero ser o teu amigo. Nem demais e nem de menos. 
Nem tão longe e nem tão perto. 
Na medida mais precisa que eu puder. 
Mas amar-te sem medida e ficar na tua vida, 
Da maneira mais discreta que eu souber. 
Sem tirar-te a liberdade, sem jamais te sufocar. 
Sem forçar tua vontade. 
Sem falar, quando for hora de calar. 
E sem calar, quando for hora de falar. 
Nem ausente, nem presente por demais. 
Simplesmente, calmamente, ser-te paz. 
É bonito ser amigo, mas confesso é tão difícil aprender! 
E por isso eu te suplico paciência. 
Vou encher este teu rosto de lembranças, 
Dá-me tempo, de acertar nossas distâncias..."
313,Pablo Neruda,"A Dança/ Soneto XVII

Não te amo como se fosses rosa de sal, topázio
ou flecha de cravos que propagam o fogo:
amo-te como se amam certas coisas obscuras,
secretamente, entre a sombra e a alma. 

Te amo como a planta que não floresce e leva
dentro de si, oculta a luz daquelas flores, 
e graças a teu amor vive escuro em meu corpo
o  apertado aroma que ascendeu da terra.

Te amo sem saber como, nem quando, nem onde, 
te amo diretamente sem problemas nem orgulho:
assim te amo porque não sei amar de outra maneira, 

senão assim deste modo em que não sou nem és
tão perto que tua mão sobre meu peito é minha
tão perto que se fecham teus olhos com meu sonho."
314,Sophia de Mello Breyner Andresen,"POEMA

A minha vida é o mar o abril a rua
O meu interior é uma atenção voltada para fora
O meu viver escuta
A frase que de coisa em coisa silabada
Grava no espaço e no tempo a sua escrita

Não trago Deus em mim mas no mundo o procuro
Sabendo que o real o mostrará

Não tenho explicações
Olho e confronto
E por método é nu meu pensamento

A terra o sol o vento o mar
São a minha biografia e são meu rosto

Por isso não me peçam cartão de identidade
Pois nenhum outro senão o mundo tenho
Não me peçam opiniões nem entrevistas
Não me perguntem datas nem moradas
De tudo quanto vejo me acrescento

E a hora da minha morte aflora lentamente
Cada dia preparada"
315,Ferreira Gullar,"[O sentido da minha vida] é inventado a cada momento, mas é claro que eu necessito da poesia, eu necessito da arte, eu necessito de estar discutindo essas coisas, de estar pensando nessas coisas que dão transcendência à vida. Eu não tenho dúvida alguma de que a arte é necessária porque a vida não é suficiente, porque senão qual era a necessidade de inventar a arte? A necessidade é essa: as pessoas necessitam dela, por mais que aconteça coisa no mundo, a arte sobrevive, como uma forma de acordo com o momento, com a época, ela é uma coisa necessária, como a ciência é necessária, como a filosofia é necessária, como a religião é necessária, como a política é necessária."
316,Fernando Pessoa,"O FADO E A ALMA PORTUGUESA

Toda a poesia - e a canção é uma poesia ajudada - reflecte o que a alma não tem. Por isso a canção dos povos tristes é alegre e a canção dos povos alegres é triste.
O fado, porém, não é alegre nem triste. É um episódio de intervalo. Formou-o a alma portuguesa quando não existia e desejava tudo sem ter força para o desejar.
As almas fortes atribuem tudo ao Destino; só os fracos confiam na vontade própria, porque ela não existe.
O fado é o cansaço da alma forte, o olhar de desprezo de Portugal ao Deus em que creu e também o abandonou.
No fado os Deuses regressam legítimos e longínquos. É esse o segredo sentido da figura de El-Rei D. Sebastião.
14-4-1929"
317,Fernando Pessoa,"Não tenho ambições nem desejos.
ser poeta não é uma ambição minha.
É a minha maneira de estar sozinho. 

Ou quando uma nuvem passa a mão por cima da luz
E corre um silêncio pela erva fora.

Porque quem ama nunca sabe o que ama
Nem sabe porque ama, nem sabe o que é amar...

Da minha aldeia vejo quanto da terra se pode ver do Universo...
Por isso a minha aldeia é tão grande como outra terra qualquer,
Porque eu sou do tamanho do que vejo
E não do tamanho da minha altura... 

A mim ensinou-me tudo.
Ensinou-me a olhar para as coisas.
Aponta-me todas as coisas que há nas flores.
Mostra-me como as pedras são engraçadas
Quando a gente as tem na mão
E olha devagar para elas."
318,Vinicius de Moraes,"Ternura

Eu te peço perdão por te amar de repente
Embora o meu amor
seja uma velha canção nos teus ouvidos
Das horas que passei à sombra dos teus gestos
Bebendo em tua boca o perfume dos sorrisos
Das noites que vivi acalentado
Pela graça indizível
dos teus passos eternamente fugindo
Trago a doçura
dos que aceitam melancolicamente.
E posso te dizer
que o grande afeto que te deixo
Não traz o exaspero das lágrimas
nem a fascinação das promessas
Nem as misteriosas palavras
dos véus da alma...
É um sossego, uma unção,
um transbordamento de carícias
E só te pede que te repouses quieta,
muito quieta
E deixes que as mãos cálidas da noite
encontrem sem fatalidade
o olhar estático da aurora."
319,José Saramago,"Poema à boca fechada 

Não direi: 
Que o silêncio me sufoca e amordaça. 
Calado estou, calado ficarei, 
Pois que a língua que falo é de outra raça. 

Palavras consumidas se acumulam, 
Se represam, cisterna de águas mortas, 
Ácidas mágoas em limos transformadas, 
Vaza de fundo em que há raízes tortas. 

Não direi: 
Que nem sequer o esforço de as dizer merecem, 
Palavras que não digam quanto sei 
Neste retiro em que me não conhecem. 

Nem só lodos se arrastam, nem só lamas, 
Nem só animais bóiam, mortos, medos, 
Túrgidos frutos em cachos se entrelaçam 
No negro poço de onde sobem dedos. 

Só direi, 
Crispadamente recolhido e mudo, 
Que quem se cala quando me calei 
Não poderá morrer sem dizer tudo."
320,Carlos Drummond de Andrade,"NOTA SOCIAL

O poeta chega na estação.
O poeta desembarca.
O poeta toma um auto.
O poeta vai para o hotel.
E enquanto ele faz isso
como qualquer homem da terra,
uma ovação o persegue
feito vaia.
Bandeirolas
abrem alas.
Bandas de música. Foguetes.
Discursos. Povo de chapéu de palha.
Máquinas fotográficas assestadas.
Automóveis imóveis.
Bravos...
O poeta está melancólico.

Numa árvore do passeio público
(melhoramento da atual administração)
árvore gorda, prisioneira
de anúncios coloridos,
árvore banal, árvore que ninguém vê
canta uma cigarra.
Canta uma cigarra que ninguém ouve
um hino que ninguém aplaude.
Canta, no sol danado.

O poeta entra no elevador
o poeta sobe
o poeta fecha-se no quarto.
O poeta está melancólico."
321,Cecília Meireles,"Despedida

Por mim, e por vós, e por mais aquilo 
que está onde as outras coisas nunca estão, 
deixo o mar bravo e o céu tranqüilo: 
quero solidão. 

Meu caminho é sem marcos nem paisagens. 
E como o conheces? - me perguntarão. 
- Por não ter palavras, por não ter imagens. 
Nenhum inimigo e nenhum irmão. 

Que procuras? - Tudo. Que desejas? - Nada. 
Viajo sozinha com o meu coração. 
Não ando perdida, mas desencontrada. 
Levo o meu rumo na minha mão. 

A memória voou da minha fronte. 
Voou meu amor, minha imaginação... 
Talvez eu morra antes do horizonte. 
Memória, amor e o resto onde estarão? 

Deixo aqui meu corpo, entre o sol e a terra. 
(Beijo-te, corpo meu, todo desilusão! 
Estandarte triste de uma estranha guerra...) 

Quero solidão."
322,Vinícius de Moraes,"Chega de Saudade

Vai, minha tristeza, e diz a ela
Que sem ela não pode ser
Diz-lhe, numa prece, que ela regresse
Porque eu não posso mais sofrer

Chega de saudade, a realidade é que sem ela
Não há paz, não há beleza
É só tristeza e a melancolia
Que não sai de mim, não sai de mim, não sai

Mas, se ela voltar, se ela voltar
Que coisa linda, que coisa louca
Pois há menos peixinhos a nadar no mar
Do que os beijinhos que eu darei na sua boca

Dentro dos meus braços
Os abraços hão de ser milhões de abraços
Apertado assim, colado assim, calado assim
Abraços e beijinhos e carinhos sem ter fim

Que é pra acabar com esse negócio de viver longe de mim
Não quero mais esse negócio de você viver assim
Vamos deixar desse negócio de você viver sem mim"
323,Fernando Pessoa,"Emoção e Poesia

Quem quer que seja de algum modo um poeta sabe muito bem quão mais fácil é escrever um bom poema (se os bons poemas se acham ao alcance do homem) a respeito de uma mulher que lhe interessa muito do que a respeito de uma mulher pela qual está profundamente apaixonado. A melhor espécie de poema de amor é, em geral, escrita a respeito de uma mulher abstrata.

Uma grande emoção é por demais egoísta; absorve em si própria todo o sangue do espírito, e a congestão deixa as mãos demasiado frias para escrever. Três espécies de emoções produzem grande poesia - emoções fortes e profundas ao serem lembradas muito tempo depois; e emoções falsas, isto é, emoções sentidas no intelecto. Não a insinceridade, mas sim, uma sinceridade traduzida, é a base de toda a arte."
324,Martha Medeiros,"PEDAÇOS DE MIM

Eu sou feito de
Sonhos interrompidos
detalhes despercebidos
amores mal resolvidos

Sou feito de
Choros sem ter razão
pessoas no coração
atos por impulsão

Sinto falta de
Lugares que não conheci
experiências que não vivi
momentos que já esqueci

Eu sou
Amor e carinho constante
distraída até o bastante
não paro por instante

Já
Tive noites maldormidas
perdi pessoas muito queridas
cumpri coisas não prometidas

Muitas vezes eu
Desisti sem mesmo tentar
pensei em fugir, para não enfrentar
sorri para não chorar

Eu sinto pelas
Coisas que não mudei
amizades que não cultivei
aqueles que eu julguei
coisas que eu falei

Tenho saudade
De pessoas que fui conhecendo
lembranças que fui esquecendo
amigos que acabei perdendo
Mas continuo vivendo e aprendendo."
325,Silvana Duboc,"Ame


AME !!! 
Quando ele chegar
Deixe-o se aproximar
Porque por pior que ele possa ser
Alguma coisa boa vem junto dele... 

Hás de aprender que
A vida é mesmo assim
Encontramos amores que não dão certo,
Outros que não são corretos,
Existem até os desgastantes,
Mas dentro de qualquer um deles
Sempre haverá um instante... 

Que no futuro valerá ser relembrado
Amores quando terminados
Muitas vezes dão a impressão
Que não valeram a pena
Que foram em vão 

Mas passado algum tempo
Com a cabeça já serena, finalmente...
Você consegue avaliar e
Descobre que sempre ficou
Algo agradável pra recordar 

Por isso ame...Se entregue...
Nunca se negue...
Em qualquer época, Qualquer idade
Qualquer lugar 

Porque só pode dizer realmente
Que por essa vida passou
Quem um dia, alguém amou."
326,Rachel de Queiroz,"Geometria dos ventos

Eis que temos aqui a Poesia, 
a grande Poesia. 
Que não oferece signos 
nem linguagem específica, não respeita 
sequer os limites do idioma. Ela flui, como um rio. 
como o sangue nas artérias, 
tão espontânea que nem se sabe como foi escrita. 
E ao mesmo tempo tão elaborada - 
feito uma flor na sua perfeição minuciosa, 
um cristal que se arranca da terra 
já dentro da geometria impecável 
da sua lapidação. 
Onde se conta uma história, 
onde se vive um delírio; onde a condição humana exacerba, 
até à fronteira da loucura, 
junto com Vincent e os seus girassóis de fogo, 
à sombra de Eva Braun, envolta no mistério ao mesmo tempo 
fácil e insolúvel da sua tragédia. 
Sim, é o encontro com a Poesia. 

(Poesia feita em homenagem ao poema Geometrida dos Ventos de Álvaro Pacheco)"
327,Carlos Drummond de Andrade,"O Sobrevivente

Impossível compor um poema a essa altura da evolução da humanidade.
Impossível escrever um poema - uma linha que seja - de verdadeira poesia.
O último trovador morreu em 1914.
Tinha um nome de que ninguém se lembra mais.

Há máquinas terrivelmente complicadas para as necessidades mais simples.
Se quer fumar um charuto aperte um botão.
Paletós abotoam-se por eletricidade.
Amor se faz pelo sem-fio.
Não precisa estômago para digestão.

Um sábio declarou a O Jornal que ainda falta
muito para atingirmos um nível razoável de 
cultura. Mas até lá, felizmente, estarei morto.

Os homens não melhoram
e matam-se como percevejos.
Os percevejos heróicos renascem.
Inabitável, o mundo é cada vez mais habitado.
E se os olhos reaprendessem a chorar seria um segundo dilúvio.

(Desconfio que escrevi um poema.)"
328,Vinicius de Moraes,"Poema de Natal

Para isso fomos feitos:
Para lembrar e ser lembrados
Para chorar e fazer chorar
Para enterrar os nossos mortos —
Por isso temos braços longos para os adeuses
Mãos para colher o que foi dado
Dedos para cavar a terra.

Assim será nossa vida:
Uma tarde sempre a esquecer
Uma estrela a se apagar na treva
Um caminho entre dois túmulos —
Por isso precisamos velar
Falar baixo, pisar leve, ver
A noite dormir em silêncio.

Não há muito o que dizer:
Uma canção sobre um berço
Um verso, talvez de amor
Uma prece por quem se vai —
Mas que essa hora não esqueça
E por ela os nossos corações
Se deixem, graves e simples.

Pois para isso fomos feitos:
Para a esperança no milagre
Para a participação da poesia
Para ver a face da morte —
De repente nunca mais esperaremos...
Hoje a noite é jovem; da morte, apenas
Nascemos, imensamente."
329,Carlos Drummond de Andrade,"Poema de sete faces

Quando nasci, um anjo torto
desses que vivem na sombra
disse: Vai, Carlos! ser gauche na vida.

As casas espiam os homens
que correm atrás de mulheres.
A tarde talvez fosse azul,
não houvesse tantos desejos.

O bonde passa cheio de pernas:
pernas brancas pretas amarelas.
Para que tanta perna, meu Deus, pergunta meu coração.
Porém meus olhos
não perguntam nada.

O homem atrás do bigode
é sério, simples e forte.
Quase não conversa.
Tem poucos, raros amigos
o homem atrás dos óculos e do bigode.

Meu Deus, por que me abandonaste
se sabias que eu não era Deus,
se sabias que eu era fraco.

Mundo mundo vasto mundo
se eu me chamasse Raimundo
seria uma rima, não seria uma solução.
Mundo mundo vasto mundo,
mais vasto é meu coração.

Eu não devia te dizer
mas essa lua
mas esse conhaque
botam a gente comovido como o diabo."
330,vinicius de moraes,"Poema enjoadinho

Filhos . . . Filhos?
Melhor não tê-los!
Mas se não os temos
Como sabê-lo?
Se não os temos
Que de consulta
Quanto silêncio
Como os queremos!
Banho de mar
Diz que é um porrete . . .
Cônjuge voa
Transpõe o espaço
Engole água
Fica salgada
Se iodifica
Depois, que boa
Que morenaço
Que a esposa fica!
Resultado: filho.
E então começa
A aporrinhação:
Cocô está branco
Cocô está preto
Bebe amoníaco
Comeu botão.
Filhos? Filhos
Melhor não tê-los
Noites de insônia
Cãs prematuras
Prantos convulsos
Meu Deus, salvai-o!
Filhos são o demo
Melhor não tê-los . . .
Mas se não os temos
Como sabê-los?
Como saber
Que macieza
Nos seus cabelos
Que cheiro morno
Na sua carne
Que gosto doce
Na sua boca!
Chupam gilete
Bebem xampu
Ateiam fogo
No quarteirão
Porém que coisa
Que coisa louca
Que coisa linda
Que os filhos são!"
331,Ferreira Gullar,"O Lampejo

O poema não voa de asa-delta
não mora na Barra
não freqüenta o Maksoud.
Pra falar a verdade, o poema não voa:
anda a pé
e acaba de ser expulso da fazenda Itupu
pela polícia.

Come mal dorme mal cheira a suor,
parece demais com o povo:
é assaltante?
é posseiro?
é vagabundo?
frequentemente o detêm para averiguações
às vezes o espancam
às vezes o matam
às vezes o resgatam
da merda
por um dia
e o fazem sorrir diante das câmeras da TV
de banho tomado.

O poema se vende
se corrompe
confia no governo
desconfia
de repente se zanga
e quebra trezentos ônibus nas ruas de Salvador.

O poema é confuso
mas tem o rosto da história brasileira:
tisnado de sol
cavado de aflições
e no fundo do olhar, no mais fundo,
detrás de todo o amargor,
guarda um lampejo
um diamante
duro como um homem
e é isso que obriga o exército a se manter de prontidão."
